drug_id,entrez_id,tas,name,symbol
HMSL10002,1025,10,ALW-II-38-3,CDK9
HMSL10002,1111,10,ALW-II-38-3,CHEK1
HMSL10002,1147,10,ALW-II-38-3,CHUK
HMSL10002,1195,10,ALW-II-38-3,CLK1
HMSL10002,1196,10,ALW-II-38-3,CLK2
HMSL10002,1198,10,ALW-II-38-3,CLK3
HMSL10002,1263,10,ALW-II-38-3,PLK3
HMSL10002,1432,2,ALW-II-38-3,MAPK14
HMSL10002,1436,2,ALW-II-38-3,CSF1R
HMSL10002,1453,10,ALW-II-38-3,CSNK1D
HMSL10002,1454,10,ALW-II-38-3,CSNK1E
HMSL10002,1455,10,ALW-II-38-3,CSNK1G2
HMSL10002,1456,10,ALW-II-38-3,CSNK1G3
HMSL10002,1457,10,ALW-II-38-3,CSNK2A1
HMSL10002,1459,10,ALW-II-38-3,CSNK2A2
HMSL10002,1612,10,ALW-II-38-3,DAPK1
HMSL10002,1613,10,ALW-II-38-3,DAPK3
HMSL10002,1760,10,ALW-II-38-3,DMPK
HMSL10002,1859,10,ALW-II-38-3,DYRK1A
HMSL10002,1956,10,ALW-II-38-3,EGFR
HMSL10002,1969,2,ALW-II-38-3,EPHA2
HMSL10002,2011,10,ALW-II-38-3,MARK2
HMSL10002,2041,10,ALW-II-38-3,EPHA1
HMSL10002,2042,2,ALW-II-38-3,EPHA3
HMSL10002,2043,2,ALW-II-38-3,EPHA4
HMSL10002,2044,2,ALW-II-38-3,EPHA5
HMSL10002,2045,10,ALW-II-38-3,EPHA7
HMSL10002,2046,2,ALW-II-38-3,EPHA8
HMSL10002,2048,2,ALW-II-38-3,EPHB2
HMSL10002,2049,2,ALW-II-38-3,EPHB3
HMSL10002,2050,2,ALW-II-38-3,EPHB4
HMSL10002,2051,10,ALW-II-38-3,EPHB6
HMSL10002,2064,10,ALW-II-38-3,ERBB2
HMSL10002,2065,10,ALW-II-38-3,ERBB3
HMSL10002,2066,10,ALW-II-38-3,ERBB4
HMSL10002,2081,10,ALW-II-38-3,ERN1
HMSL10002,2185,10,ALW-II-38-3,PTK2B
HMSL10002,2241,10,ALW-II-38-3,FER
HMSL10002,2242,10,ALW-II-38-3,FES
HMSL10002,2260,10,ALW-II-38-3,FGFR1
HMSL10002,2261,10,ALW-II-38-3,FGFR3
HMSL10002,2263,10,ALW-II-38-3,FGFR2
HMSL10002,2264,10,ALW-II-38-3,FGFR4
HMSL10002,2321,10,ALW-II-38-3,FLT1
HMSL10002,2322,10,ALW-II-38-3,FLT3
HMSL10002,2324,10,ALW-II-38-3,FLT4
HMSL10002,2444,2,ALW-II-38-3,FRK
HMSL10002,2580,10,ALW-II-38-3,GAK
HMSL10002,2868,10,ALW-II-38-3,GRK4
HMSL10002,2872,10,ALW-II-38-3,MKNK2
HMSL10002,2931,10,ALW-II-38-3,GSK3A
HMSL10002,2932,10,ALW-II-38-3,GSK3B
HMSL10002,3480,10,ALW-II-38-3,IGF1R
HMSL10002,3551,10,ALW-II-38-3,IKBKB
HMSL10002,3643,10,ALW-II-38-3,INSR
HMSL10002,3645,10,ALW-II-38-3,INSRR
HMSL10002,3654,10,ALW-II-38-3,IRAK1
HMSL10002,3702,10,ALW-II-38-3,ITK
HMSL10002,3716,10,ALW-II-38-3,JAK1
HMSL10002,3717,10,ALW-II-38-3,JAK2
HMSL10002,3718,10,ALW-II-38-3,JAK3
HMSL10002,3791,10,ALW-II-38-3,KDR
HMSL10002,3815,2,ALW-II-38-3,KIT
HMSL10002,3984,10,ALW-II-38-3,LIMK1
HMSL10002,3985,10,ALW-II-38-3,LIMK2
HMSL10002,4058,10,ALW-II-38-3,LTK
HMSL10002,4117,10,ALW-II-38-3,MAK
HMSL10002,4139,10,ALW-II-38-3,MARK1
HMSL10002,4140,10,ALW-II-38-3,MARK3
HMSL10002,4145,10,ALW-II-38-3,MATK
HMSL10002,4214,10,ALW-II-38-3,MAP3K1
HMSL10002,4215,10,ALW-II-38-3,MAP3K3
HMSL10002,4216,10,ALW-II-38-3,MAP3K4
HMSL10002,4217,10,ALW-II-38-3,MAP3K5
HMSL10002,4233,10,ALW-II-38-3,MET
HMSL10002,4293,10,ALW-II-38-3,MAP3K9
HMSL10002,4294,10,ALW-II-38-3,MAP3K10
HMSL10002,4296,10,ALW-II-38-3,MAP3K11
HMSL10002,4486,10,ALW-II-38-3,MST1R
HMSL10002,4593,10,ALW-II-38-3,MUSK
HMSL10002,4638,10,ALW-II-38-3,MYLK
HMSL10002,4750,10,ALW-II-38-3,NEK1
HMSL10002,4751,10,ALW-II-38-3,NEK2
HMSL10002,4914,10,ALW-II-38-3,NTRK1
HMSL10002,4915,10,ALW-II-38-3,NTRK2
HMSL10002,4916,10,ALW-II-38-3,NTRK3
HMSL10002,4921,2,ALW-II-38-3,DDR2
HMSL10002,5058,10,ALW-II-38-3,PAK1
HMSL10002,5062,10,ALW-II-38-3,PAK2
HMSL10002,5063,10,ALW-II-38-3,PAK3
HMSL10002,5127,10,ALW-II-38-3,CDK16
HMSL10002,5128,10,ALW-II-38-3,CDK17
HMSL10002,5129,10,ALW-II-38-3,CDK18
HMSL10002,5156,2,ALW-II-38-3,PDGFRA
HMSL10002,5159,2,ALW-II-38-3,PDGFRB
HMSL10002,5170,10,ALW-II-38-3,PDPK1
HMSL10002,5218,10,ALW-II-38-3,CDK14
HMSL10002,5260,10,ALW-II-38-3,PHKG1
HMSL10002,5261,10,ALW-II-38-3,PHKG2
HMSL10002,5287,10,ALW-II-38-3,PIK3C2B
HMSL10002,5288,10,ALW-II-38-3,PIK3C2G
HMSL10002,5290,10,ALW-II-38-3,PIK3CA
HMSL10002,5291,10,ALW-II-38-3,PIK3CB
HMSL10002,5292,10,ALW-II-38-3,PIM1
HMSL10002,5293,10,ALW-II-38-3,PIK3CD
HMSL10002,5294,10,ALW-II-38-3,PIK3CG
HMSL10002,5298,10,ALW-II-38-3,PI4KB
HMSL10002,5347,10,ALW-II-38-3,PLK1
HMSL10002,5562,10,ALW-II-38-3,PRKAA1
HMSL10002,5563,10,ALW-II-38-3,PRKAA2
HMSL10002,5566,10,ALW-II-38-3,PRKACA
HMSL10002,5567,10,ALW-II-38-3,PRKACB
HMSL10002,5580,10,ALW-II-38-3,PRKCD
HMSL10002,5581,10,ALW-II-38-3,PRKCE
HMSL10002,5583,10,ALW-II-38-3,PRKCH
HMSL10002,5585,10,ALW-II-38-3,PKN1
HMSL10002,5586,10,ALW-II-38-3,PKN2
HMSL10002,5587,10,ALW-II-38-3,PRKD1
HMSL10002,5588,10,ALW-II-38-3,PRKCQ
HMSL10002,5592,10,ALW-II-38-3,PRKG1
HMSL10002,5593,10,ALW-II-38-3,PRKG2
HMSL10002,5594,10,ALW-II-38-3,MAPK1
HMSL10002,5595,10,ALW-II-38-3,MAPK3
HMSL10002,5596,10,ALW-II-38-3,MAPK4
HMSL10002,5597,10,ALW-II-38-3,MAPK6
HMSL10002,5598,10,ALW-II-38-3,MAPK7
HMSL10002,5599,10,ALW-II-38-3,MAPK8
HMSL10002,5600,2,ALW-II-38-3,MAPK11
